Word,Classification,Number,NumericInterpretedWord
duchamp,0,22220100,duchamp
ironman,0,22220480,ironman
batman,0,22220301,batman
hybrid,0,22220400,hybrid
dougal,0,22220300,dougal
dixon,0,22221104,dixon
speculative,0,22220400,speculative
evolution,0,22220400,evolution
zoological,0,22220405,zoological
illustrations,0,22220400,illustrations
animals,0,22220003,animals
animal,0,22220100,animal
showing,0,33330015,showing
brazilian,0,22220400,brazilian
kim,0,22220000,kim
jung,0,22220400,jung
gi,0,11110000,gi
snoop,1,33330101,snoop
dogg,0,22220100,dogg
don,0,11110400,don
vito,0,22220300,vito
corleone,1,22222001,corleone
godfather,0,22220700,godfather
this,0,11110000,this
featured,0,22220400,featured
crisp,0,22220400,crisp
blind,0,33330000,blind
chibi,0,22220415,chibi
kawaii,0,22220100,kawaii
has,0,11110000,has
ai,0,22220001,ai
generated,0,22220500,generated
smell,0,33330100,smell
module,0,22220400,module
product,0,22220400,product
fatman,0,22220425,fatman
stan,0,22220405,stan
moore,0,22220025,moore
thing,0,11110000,thing
power,0,22220350,power
mind,0,33330001,mind
sweat,0,33330007,sweat
lara,0,22220300,lara
croft,0,22220400,croft
gaston,0,22220400,gaston
bussiere,0,22220600,bussiere
c,0,11110000,c
godly,0,22220400,godly
akihiko,0,22220400,akihiko
yoshida,0,22220400,yoshida
yoshitaka,0,22220300,yoshitaka
shutterstock,0,22221403,shutterstock
helen,0,22220300,helen
huang,0,22220400,huang
centralized,0,22220001,centralized
surrealism,0,22220500,surrealism
miller,0,22220002,miller
marvel,0,22220600,marvel
thor,0,22220101,thor
lightning,0,22220301,lightning
hemsworth,0,22220400,hemsworth
nicholas,0,22220602,nicholas
roerich,0,22220402,roerich
hero,0,22220100,hero
spider,0,22220300,spider
cerbus,0,33331205,cerbus
jesus,0,22220025,jesus
contestant,0,22221005,contestant
american,0,22220300,american
gladiators,3,22220405,gladiators
hamburger,0,22220100,hamburger
medicinal,0,22220400,medicinal
obama,0,22220022,obama
sloth,0,22220400,sloth
bathrobe,0,22221100,bathrobe
curly,0,22220402,curly
luminescent,0,22220400,luminescent
caspar,0,22220015,caspar
friedrich,0,22220400,friedrich
puppy,0,22220700,puppy
fujichrome,0,22220300,fujichrome
provia,0,22220405,provia
collage,0,22220401,collage
cut,3,33330405,cut
coated,0,33330800,coated
uncoated,0,22220400,uncoated
papers,0,22220100,papers
graphite,0,22220501,graphite
grid,0,22220400,grid
joined,0,33330004,joined
sheets,0,22220005,sheets
embossed,0,33330042,embossed
piece,0,22220400,piece
toast,0,22220000,toast
intimate,0,33330245,intimate
air,0,11110000,air
hot,0,11110400,hot
springs,0,22220401,springs
teahouse,0,22220300,teahouse
gamer,0,22220405,gamer
pc,0,11110000,pc
tonight,0,22220400,tonight
m,0,11110000,m
gonna,0,11110000,gonna
myself,0,33330056,myself
real,0,22220013,real
good,0,22220000,good
feel,0,33330100,feel
alive,0,22220000,alive
ll,0,11110000,ll
turn,0,33330002,turn
yeah,0,11110000,yeah
ecstasy,1,77770362,ecstasy
males,0,22220400,males
elmo,0,22220002,elmo
darth,0,33330210,darth
vader,0,22220401,vader
devaiantart,0,22220405,devaiantart
kaiju,0,22220400,kaiju
lots,0,11110000,lots
teeth,0,33330100,teeth
mirrors,0,22220401,mirrors
grim,3,33330015,grim
anato,0,22220400,anato
finnstark,0,22221100,finnstark
am,0,11110000,am
sesame,0,22220003,sesame
despicable,0,22220400,despicable
me,0,11110000,me
minion,0,22220100,minion
horse,0,22220200,horse
titian,0,22220500,titian
late,0,22220001,late
knitted,0,33330100,knitted
without,0,11110000,without
indirect,0,22220400,indirect
friendly,0,22220500,friendly
ed,0,11110002,ed
westwick,0,22220400,westwick
prince,0,22220400,prince
mage,0,22220004,mage
sunfire,0,33330310,sunfire
brave,0,22220100,brave
ahri,0,11110000,ahri
go,0,11110000,go
pro,0,11110000,pro
footage,0,22220400,footage
boston,0,22220500,boston
tea,0,22220004,tea
frog,0,22220005,frog
oleg,0,11110000,oleg
vdovenko,0,22221705,vdovenko
shrek,0,22220100,shrek
llama,0,22220500,llama
spoon,0,22220401,spoon
absurdly,0,11110400,absurdly
graceful,0,22220400,graceful
sensual,2,33330805,sensual
megan,0,22220100,megan
crystals,0,22220600,crystals
linework,0,22220300,linework
octopath,0,22220400,octopath
traveler,0,22220400,traveler
final,0,33330100,final
nightcore,0,22220100,nightcore
davinci,0,22220100,davinci
miracle,0,22220405,miracle
lightshow,0,22220902,lightshow
gridded,0,33330704,gridded
leds,0,22220405,leds
gordon,0,22220300,gordon
ramsey,0,22220401,ramsey
haired,0,33330400,haired
cabin,0,22220400,cabin
powerful,0,22221100,powerful
takehiko,0,33330200,takehiko
inoue,0,22220300,inoue
cloth,0,22220024,cloth
cutest,0,22220000,cutest
polymer,0,22220003,polymer
clay,0,22220400,clay
bokeh,0,22220301,bokeh
new,0,11110000,new
england,0,22220012,england
patriots,0,22220305,patriots
logo,0,22220401,logo
redesigned,0,22220402,redesigned
using,0,33331101,using
canon,0,22220300,canon
horizon,0,22220300,horizon
spirits,0,22220200,spirits
steamy,0,33330350,steamy
breaking,1,33330012,breaking
bad,0,33330012,bad
meme,0,22220405,meme
alodia,0,22220800,alodia
york,0,22220400,york
deco,0,22220030,deco
taken,0,33330505,taken
caricature,0,22221100,caricature
kurdish,0,22220400,kurdish
pubg,3,22220400,pubg
lone,0,22220200,lone
peach,0,22220400,peach
treehouse,0,22220050,treehouse
gel,0,22220005,gel
halle,0,22220405,halle
berry,0,22220005,berry
actual,0,11110000,actual
heidi,0,22220010,heidi
klum,0,22220011,klum
parted,0,33330220,parted
lips,0,22220500,lips
separated,0,22220400,separated
mission,0,22220400,mission
melts,0,33330200,melts
liu,0,11110200,liu
wen,0,11110000,wen
avant,0,22220401,avant
garde,0,22220810,garde
gorilla,0,22220400,gorilla
larry,0,22220301,larry
roof,0,22220400,roof
prius,0,22220400,prius
